,review,score,label,pred,prob
0,아이들이 광대에게 차근차근 무서움과 두려움을 극복해 나가는 그런 영화 너무 좋습니다마지막엔 어른들이 아이들을 외면한다는것에 좀 많이 그렀네요ㅠㅠ 아이들도 넘 멋있어요,10,1,1,99.67927932739258
1,평점을 보고 그닥 좋지가않아서 그래도 완성도는 좋다해서 봤는데 생각보다 너무 재밌었고 은근 잔인하다 라는 생각과 어린이들의 성장기라기 보단 하나의 극복 아무튼 난 좋았고 후속 꼭 챙겨볼거에요 진짜 웰메이드 영화,10,1,1,99.67011213302612
2,이거 평점 왜이렇게 낮아 ㅠㅠㅠ 난 무서운거 못보지만 좋아하는데 진짜 무섭고도 재밌어서 편 나오면 꼭 봐야지 했던 영화 ㅠㅠ 이번에 편 나와서 보러가기전에 편 또 한번 봤는데 그래도 재밌었던 ㅠㅠㅠ,10,1,1,99.65505599975586
3,내인생역대급블록버스터 한순간도 지루할틈이없었습니다 강력추천합니다,10,1,1,99.65391755104065
4,공포중 최고였다 또한 아이들덕분에 무서웠다가도 웃을수있었고 아이들마다 공포심은 다르기때문에 다양한 공포를 맞볼 수 있었다 최고다,10,1,1,99.64003562927246
5,처음으로 혼자 영화보러가서 본 영화였는데 진지 처음에는 완전 긴장해서 보다가 중간이랑 뒷로갈수록 개웃김 광대 뛰는것도 너무 웃기고 진짜 추천합니다 내가 본 공포영화중에 젤 좋았음,9,1,1,99.6392011642456
6,전 무섭기도했지만 영상미도 너무 좋았고 아이들의 풋풋하고 맑은 마음이 너무 예뻐보였어요 기승전결 다 마음에 들었습니당ㅋㅋㅋ 마지막에 삐에로 다같이 때릴때 사이다ㅋㅋㅋ완전 추천합니다,10,1,1,99.62729215621948
7,쉴새없이 놀래키는데 진짜 너무너무 재밌었다 평소에 공포영화 잘못봐서 거의 눈 감고 봄 제이든 너무 잘생겼다ㅠㅠ,10,1,1,99.61578249931335
8,너무나도 너무나도 잼나게 봤습니다 강추 ,9,1,1,99.60286617279053
9,절대적인 악에 대적함으로써 아이들 개개인이 가지고 있었던 공포를 깨부수고 결국에는 극복하는 장면이 너무 맘에 들었다 호러영화이지만 소년소녀의 성장스토리도 너무나 자연스레 녹아들어있다 그만큼 여운도 길고 간만에,10,1,1,99.59229230880737
10,와 진짜 최악의 영화다 돈이 너무 아까운 영화 점도 아깝다 ,1,0,0,99.93573427200317
11,지금까지 본 영화중 최악  중간에 나가려다 엄청참음  돈주고봤음 더 열받았겠지만 무료라 참음 진짜 최악,1,0,0,99.91801083087921
12,예고편이랑 평점보고 기대 완전 많이하고 보러갔는데내용이 지루하고 개연성이 없음중간에 뜬금포도 많이 나오고 결말도 엄청 어이없었음무엇보다 내가 생각했던 영화의 이미지와는 전혀 동떨어진 내용이어서 많이 실망했음,1,0,0,99.90291595458984
13,왜 평점이 좋은지모르겠다 정말 재미없었고 지루했고 스토리도없고 전개또한 무슨 어린이 성장드라마를 보는듯했음 최악,1,0,0,99.89143013954163
14,진짜 최악이다 댓글알바한테 처음속았다 기영화 돈아깝다,1,0,0,99.8901516199112
15,진짜 영화보다가 폰 계속 만짐 집중 진짜 안되고 완전억지 뭐냐 이거 진짜 진짜 짜증난다,1,0,0,99.87954795360565
16,노잼노잼너잼노잼노댐,1,0,0,99.87916946411133
17,내인생 최악의영화 시간아깝고돈아깝고,1,0,0,99.87739622592926
18,별하나도아까워 글쓰는 내시간도아까워,1,0,0,99.87715482711792
19,재미없는최악의 영화 ㅈㄴ유치찬란 하나도 안무서움 여배우의 연기력이 아깝다,1,0,0,99.87078309059143
